,,,,,All people in poverty (2023),,,Children ages 0-17 in poverty (2023),,,
,,,,,,90% confidence interval of estimate,,,90% confidence interval of estimate,,
FIPS*,,Name,,RUC Code,Percent,Lower Bound,Upper Bound,Percent,Lower Bound,Upper Bound,
17000,,Illinois,,,12,11,12,15,14,15,
17001,,Adams,,5,12,10,15,14,10,18,
17003,,Alexander,,3,26,20,32,39,26,52,
17005,,Bond,,1,14,10,17,15,10,19,
17007,,Boone,,2,11,9,13,16,13,19,
17009,,Brown,,9,14,10,17,12,8,15,
17011,,Bureau,,7,11,10,13,15,11,20,
17013,,Calhoun,,1,10,7,13,14,9,18,
17015,,Carroll,,9,13,10,16,17,11,22,
17017,,Cass,,6,12,9,14,17,11,22,
17019,,Champaign,,3,16,14,18,14,10,19,
17021,,Christian,,6,12,9,15,16,11,21,
17023,,Clark,,8,12,9,15,16,11,21,
17025,,Clay,,9,15,12,18,19,13,25,
17027,,Clinton,,1,8,6,9,9,6,12,
17029,,Coles,,5,17,14,20,19,14,23,
17031,,Cook,,1,13,13,14,17,16,18,
17033,,Crawford,,6,14,11,17,17,12,22,
17035,,Cumberland,,9,11,9,13,13,9,17,
17037,,DeKalb,,1,13,10,15,13,9,17,
17039,,De Witt,,6,11,8,13,16,11,21,
17041,,Douglas,,8,9,7,11,12,8,15,
17043,,DuPage,,1,7,6,7,7,5,8,
17045,,Edgar,,6,14,11,16,18,12,23,
17047,,Edwards,,9,14,12,16,16,11,20,
17049,,Effingham,,7,10,8,12,12,9,15,
17051,,Fayette,,6,17,14,20,21,16,26,
17053,,Ford,,3,11,9,13,15,10,19,
17055,,Franklin,,7,18,15,21,23,17,30,
17057,,Fulton,,6,12,9,14,17,12,22,
17059,,Gallatin,,8,18,13,22,24,17,31,
17061,,Greene,,8,14,11,17,18,13,24,
17063,,Grundy,,1,7,5,8,9,6,11,
17065,,Hamilton,,9,11,8,14,17,12,22,
17067,,Hancock,,9,13,11,15,18,13,23,
17069,,Hardin,,9,19,15,24,29,19,39,
17071,,Henderson,,9,13,10,16,15,10,21,
17073,,Henry,,2,10,7,12,13,9,17,
17075,,Iroquois,,8,12,10,15,16,12,20,
17077,,Jackson,,5,21,17,24,23,16,30,
17079,,Jasper,,9,9,7,12,13,8,17,
17081,,Jefferson,,7,15,13,18,21,16,27,
17083,,Jersey,,1,11,9,13,14,10,18,
17085,,Jo Daviess,,8,9,7,11,11,8,15,
17087,,Johnson,,8,15,12,19,17,12,21,
17089,,Kane,,1,8,7,10,12,10,14,
17091,,Kankakee,,3,12,9,14,16,11,20,
17093,,Kendall,,1,5,4,6,7,5,8,
17095,,Knox,,4,16,14,19,21,16,27,
17097,,Lake,,1,8,7,9,11,9,12,
17099,,LaSalle,,4,12,9,14,16,12,20,
17101,,Lawrence,,9,18,14,22,21,15,27,
17103,,Lee,,6,10,8,12,14,9,18,
17105,,Livingston,,6,11,9,13,14,10,18,
17107,,Logan,,6,14,12,17,17,13,21,
17109,,McDonough,,7,20,17,23,21,15,28,
17111,,McHenry,,1,6,5,7,8,6,9,
17113,,McLean,,3,11,10,13,9,6,12,
17115,,Macon,,3,16,13,18,23,17,28,
17117,,Macoupin,,1,13,11,15,17,12,22,
17119,,Madison,,1,11,10,13,13,10,17,
17121,,Marion,,7,16,13,19,21,15,27,
17123,,Marshall,,2,10,8,12,16,12,20,
17125,,Mason,,8,15,12,18,22,16,28,
17127,,Massac,,3,18,15,21,31,24,37,
17129,,Menard,,3,10,8,12,13,10,17,
17131,,Mercer,,2,10,8,12,14,10,17,
17133,,Monroe,,1,5,4,6,5,3,6,
17135,,Montgomery,,6,15,12,18,18,13,23,
17137,,Morgan,,4,14,11,17,17,12,23,
17139,,Moultrie,,8,11,9,13,13,10,17,
17141,,Ogle,,6,9,7,11,12,9,15,
17143,,Peoria,,2,17,15,19,22,18,26,
17145,,Perry,,7,17,14,20,24,19,30,
17147,,Piatt,,3,7,5,8,8,6,11,
17149,,Pike,,9,15,12,18,21,16,26,
17151,,Pope,,8,16,12,20,26,18,35,
17153,,Pulaski,,8,22,17,28,35,25,46,
17155,,Putnam,,8,9,7,11,13,9,16,
17157,,Randolph,,6,12,9,14,15,10,19,
17159,,Richland,,7,13,10,16,17,12,23,
17161,,Rock Island,,2,15,13,17,21,16,26,
17163,,St. Clair,,1,13,11,16,17,13,22,
17165,,Saline,,7,19,15,22,24,17,31,
17167,,Sangamon,,3,12,10,14,17,13,21,
17169,,Schuyler,,9,14,12,16,14,10,19,
17171,,Scott,,9,11,9,14,17,12,22,
17173,,Shelby,,8,11,8,13,13,9,17,
17175,,Stark,,2,11,9,14,16,11,21,
17177,,Stephenson,,4,13,10,15,18,12,23,
17179,,Tazewell,,2,9,7,10,10,7,13,
17181,,Union,,6,16,13,19,20,13,26,
17183,,Vermilion,,4,20,17,22,29,23,34,
17185,,Wabash,,7,14,12,17,18,13,23,
17187,,Warren,,6,12,9,15,16,11,22,
17189,,Washington,,8,9,7,11,11,7,14,
17191,,Wayne,,9,13,10,16,18,13,23,
17193,,White,,6,15,12,18,19,14,25,
17195,,Whiteside,,4,11,9,14,16,11,20,
17197,,Will,,1,7,6,8,9,8,11,
17199,,Williamson,,5,17,14,19,22,17,27,
17201,,Winnebago,,2,15,13,16,20,17,24,
17203,,Woodford,,2,7,6,8,8,5,10,