FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2019-2023
17000,Illinois,,31.9%,35.1%,30.0%,27.7%,27.2%,25.3%
17001,"Adams, IL        ",5,35.9%,40.8%,37.4%,37.5%,37.5%,34.9%
17003,"Alexander, IL        ",3,25.8%,29.7%,31.4%,34.7%,36.4%,40.9%
17005,"Bond, IL        ",1,28.3%,34.5%,36.6%,34.2%,35.4%,32.1%
17007,"Boone, IL        ",2,37.1%,44.3%,40.1%,38.2%,36.8%,30.4%
17009,"Brown, IL        ",9,30.8%,39.2%,37.9%,28.8%,37.9%,40.3%
17011,"Bureau, IL        ",7,36.2%,43.2%,41.7%,39.0%,40.0%,34.7%
17013,"Calhoun, IL        ",1,24.2%,33.6%,40.4%,44.6%,42.8%,33.3%
17015,"Carroll, IL        ",9,39.3%,45.5%,43.7%,44.0%,41.2%,35.8%
17017,"Cass, IL        ",6,38.3%,43.6%,44.2%,44.3%,43.2%,42.4%
17019,"Champaign, IL        ",3,33.8%,33.7%,26.3%,24.2%,23.1%,22.3%
17021,"Christian, IL        ",6,36.4%,44.9%,43.9%,43.6%,43.2%,44.1%
17023,"Clark, IL        ",8,31.7%,42.1%,41.5%,39.3%,39.6%,35.3%
17025,"Clay, IL        ",9,28.8%,35.9%,36.7%,38.3%,43.9%,36.6%
17027,"Clinton, IL        ",1,26.8%,38.4%,34.2%,35.0%,31.4%,32.1%
17029,"Coles, IL        ",5,30.7%,35.5%,32.2%,32.6%,32.7%,30.7%
17031,"Cook, IL        ",1,29.6%,31.4%,26.3%,24.2%,24.2%,22.2%
17033,"Crawford, IL        ",6,36.6%,42.5%,40.6%,37.0%,34.8%,29.4%
17035,"Cumberland, IL        ",9,29.3%,38.7%,41.2%,43.0%,41.9%,38.6%
17037,"DeKalb, IL        ",1,35.3%,37.2%,30.8%,29.9%,28.6%,25.9%
17039,"De Witt, IL        ",6,36.3%,45.0%,44.2%,43.6%,43.3%,40.0%
17041,"Douglas, IL        ",8,39.2%,44.6%,41.0%,39.6%,39.5%,33.0%
17043,"DuPage, IL        ",1,35.9%,33.4%,23.3%,20.6%,19.4%,18.1%
17045,"Edgar, IL        ",6,36.6%,42.4%,42.7%,41.8%,41.0%,41.5%
17047,"Edwards, IL        ",9,34.5%,37.9%,37.1%,38.9%,34.8%,36.2%
17049,"Effingham, IL        ",7,31.7%,40.4%,37.7%,38.1%,36.5%,31.6%
17051,"Fayette, IL        ",6,28.7%,37.7%,40.4%,40.9%,42.8%,40.5%
17053,"Ford, IL        ",3,43.5%,46.3%,41.1%,42.0%,37.9%,36.1%
17055,"Franklin, IL        ",7,26.0%,35.1%,35.5%,34.4%,34.3%,32.3%
17057,"Fulton, IL        ",6,37.2%,43.2%,42.1%,38.0%,37.5%,37.7%
17059,"Gallatin, IL        ",8,23.5%,30.4%,34.3%,36.9%,36.7%,35.3%
17061,"Greene, IL        ",8,35.0%,41.0%,42.2%,43.8%,42.5%,44.1%
17063,"Grundy, IL        ",1,40.7%,46.5%,40.6%,38.9%,36.8%,34.0%
17065,"Hamilton, IL        ",9,22.2%,31.9%,32.9%,31.9%,32.9%,31.9%
17067,"Hancock, IL        ",9,39.0%,44.0%,39.2%,41.4%,39.2%,33.8%
17069,"Hardin, IL        ",9,22.8%,28.5%,32.4%,29.1%,35.1%,40.7%
17071,"Henderson, IL        ",9,39.1%,44.3%,44.9%,46.3%,41.3%,43.4%
17073,"Henry, IL        ",2,39.1%,44.5%,40.9%,37.2%,35.0%,33.7%
17075,"Iroquois, IL        ",8,38.1%,44.7%,42.8%,40.6%,40.4%,39.8%
17077,"Jackson, IL        ",5,24.4%,27.0%,23.7%,24.9%,24.8%,22.9%
17079,"Jasper, IL        ",9,28.7%,36.8%,40.8%,40.6%,39.0%,34.4%
17081,"Jefferson, IL        ",7,28.2%,33.8%,34.8%,32.9%,34.6%,32.7%
17083,"Jersey, IL        ",1,30.4%,40.3%,38.7%,39.3%,35.5%,37.4%
17085,"Jo Daviess, IL        ",8,36.9%,44.4%,43.1%,41.6%,38.4%,31.6%
17087,"Johnson, IL        ",8,28.1%,31.3%,32.8%,27.8%,32.9%,32.7%
17089,"Kane, IL        ",1,35.8%,37.5%,29.3%,25.0%,24.0%,22.7%
17091,"Kankakee, IL        ",3,34.4%,38.7%,36.1%,35.8%,34.8%,35.8%
17093,"Kendall, IL        ",1,44.4%,46.9%,36.6%,30.1%,24.7%,23.5%
17095,"Knox, IL        ",4,39.3%,42.5%,38.3%,36.7%,37.5%,34.9%
17097,"Lake, IL        ",1,32.9%,33.9%,25.1%,21.4%,21.2%,19.7%
17099,"LaSalle, IL        ",4,35.8%,40.9%,39.3%,38.6%,38.5%,36.0%
17101,"Lawrence, IL        ",9,35.7%,41.9%,39.4%,41.8%,35.1%,35.0%
17103,"Lee, IL        ",6,37.6%,43.9%,38.6%,36.7%,35.9%,37.2%
17105,"Livingston, IL        ",6,38.7%,42.2%,43.4%,41.2%,40.3%,40.4%
17107,"Logan, IL        ",6,33.0%,40.4%,41.7%,40.4%,35.7%,40.4%
17109,"McDonough, IL        ",7,35.6%,37.3%,34.7%,33.4%,29.1%,32.7%
17111,"McHenry, IL        ",1,36.0%,39.9%,32.5%,28.4%,27.0%,26.9%
17113,"McLean, IL        ",3,34.2%,37.0%,32.9%,28.2%,26.2%,22.8%
17115,"Macon, IL        ",3,35.6%,42.3%,38.1%,38.0%,34.2%,37.5%
17117,"Macoupin, IL        ",1,33.6%,43.2%,43.0%,41.6%,38.8%,39.9%
17119,"Madison, IL        ",1,32.9%,39.1%,36.0%,34.0%,33.8%,28.3%
17121,"Marion, IL        ",7,29.5%,35.8%,37.1%,35.9%,36.4%,36.1%
17123,"Marshall, IL        ",2,39.9%,45.5%,43.3%,40.2%,42.3%,37.4%
17125,"Mason, IL        ",8,35.5%,42.2%,43.8%,42.1%,38.0%,38.1%
17127,"Massac, IL        ",3,27.2%,33.3%,33.9%,34.8%,32.5%,34.3%
17129,"Menard, IL        ",3,37.4%,42.0%,41.8%,38.3%,39.9%,33.5%
17131,"Mercer, IL        ",2,40.5%,46.6%,44.3%,43.6%,40.3%,40.2%
17133,"Monroe, IL        ",1,32.2%,42.6%,38.7%,32.6%,34.2%,24.2%
17135,"Montgomery, IL        ",6,35.4%,41.1%,43.9%,40.9%,40.9%,41.2%
17137,"Morgan, IL        ",4,36.6%,41.9%,39.6%,37.1%,39.1%,39.4%
17139,"Moultrie, IL        ",8,31.7%,37.9%,40.0%,38.0%,41.6%,34.6%
17141,"Ogle, IL        ",6,39.5%,43.2%,40.3%,36.4%,35.7%,32.9%
17143,"Peoria, IL        ",2,33.8%,37.7%,31.4%,29.5%,29.3%,27.7%
17145,"Perry, IL        ",7,27.8%,37.2%,37.2%,34.3%,34.6%,33.8%
17147,"Piatt, IL        ",3,39.8%,43.7%,42.6%,37.2%,35.3%,33.2%
17149,"Pike, IL        ",9,35.3%,43.5%,41.4%,43.8%,45.0%,42.4%
17151,"Pope, IL        ",8,22.1%,35.3%,35.6%,33.1%,36.9%,38.1%
17153,"Pulaski, IL        ",8,23.6%,30.2%,28.7%,31.7%,33.1%,42.3%
17155,"Putnam, IL        ",8,39.7%,42.2%,40.3%,38.0%,35.8%,34.9%
17157,"Randolph, IL        ",6,28.6%,40.2%,36.1%,37.3%,39.6%,39.6%
17159,"Richland, IL        ",7,31.8%,37.3%,34.7%,32.8%,34.0%,33.1%
17161,"Rock Island, IL        ",2,37.4%,42.2%,35.3%,34.0%,31.9%,30.7%
17163,"St. Clair, IL        ",1,28.8%,33.8%,30.6%,29.1%,27.9%,27.0%
17165,"Saline, IL        ",7,26.1%,33.1%,30.1%,30.2%,31.9%,30.6%
17167,"Sangamon, IL        ",3,36.4%,38.8%,33.2%,31.0%,28.6%,28.2%
17169,"Schuyler, IL        ",9,35.6%,43.5%,42.4%,46.2%,38.9%,40.0%
17171,"Scott, IL        ",9,30.6%,43.8%,48.6%,46.6%,45.5%,45.4%
17173,"Shelby, IL        ",8,34.6%,42.7%,41.0%,43.9%,42.3%,42.5%
17175,"Stark, IL        ",2,41.2%,46.9%,43.6%,39.1%,40.2%,38.1%
17177,"Stephenson, IL        ",4,37.9%,43.1%,39.2%,38.3%,36.2%,32.0%
17179,"Tazewell, IL        ",2,37.1%,43.0%,37.0%,34.4%,33.0%,30.3%
17181,"Union, IL        ",6,25.6%,32.8%,30.6%,31.0%,32.3%,34.9%
17183,"Vermilion, IL        ",4,33.7%,39.8%,38.8%,38.4%,39.3%,41.5%
17185,"Wabash, IL        ",7,34.3%,36.5%,31.8%,30.9%,31.9%,32.3%
17187,"Warren, IL        ",6,36.5%,39.8%,39.2%,39.5%,35.4%,34.4%
17189,"Washington, IL        ",8,21.4%,32.2%,34.8%,34.9%,32.5%,31.8%
17191,"Wayne, IL        ",9,25.0%,34.0%,33.4%,34.7%,33.7%,33.7%
17193,"White, IL        ",6,28.8%,36.0%,34.3%,35.6%,33.8%,34.4%
17195,"Whiteside, IL        ",4,35.0%,41.0%,38.9%,37.8%,37.8%,37.8%
17197,"Will, IL        ",1,35.2%,40.2%,33.2%,29.1%,27.3%,25.7%
17199,"Williamson, IL        ",5,29.7%,35.3%,32.3%,32.3%,30.0%,28.1%
17201,"Winnebago, IL        ",2,34.7%,39.7%,34.9%,32.8%,34.2%,30.8%
17203,"Woodford, IL        ",2,40.2%,42.3%,38.5%,35.3%,31.6%,27.1%